wav_filename,wav_filesize,transcript
/content/asr-task2-data/test_kannada/knf_00254_01445391292.wav,212,ಅಲ್ಲದೇ ಅವುಗಳನ್ನು ಅಲ್ಲಿನ ಅಡುಗೆ ಮನೆಯಲ್ಲಿ ಬೇಯಿಸುತ್ತಾರೆ.
/content/asr-task2-data/test_kannada/knf_01779_02024713720.wav,212,ಅಂತರಜಾಲ ಸೌಲಭ್ಯ ಇಲ್ಲದವರಿಗೆ ಅಂತಾರಾಷ್ಟ್ರೀಯ ಧನಾದೇಶ ಸ್ವೀಕೃತಿ
/content/asr-task2-data/test_kannada/knf_09696_02009165869.wav,212,ಹವಾಮಾನ ಅನನಕೂಲವಾಗಿದ್ದರೆ ಇವುಗಳನ್ನು ಒಂದು ದಿನದಲ್ಲಿ ಪೂರ್ಣಗೊಳಿಸುವುದಿಲ್ಲ.
/content/asr-task2-data/test_kannada/knf_05550_01207101906.wav,770092,ಅಮೃತಮಂಥನದಲ್ಲಿ ಧನ್ವಂತರಿ ಹುಟ್ಟಿ ಲೋಕಕ್ಕೆ ಅಮೃತವನ್ನು ತಂದನೆಂದು ಮಹಾಭಾರತದಲ್ಲಿ ಹೇಳಿದೆ.
/content/asr-task2-data/test_kannada/knf_09696_00779393186.wav,212,ಈ ವ್ಯವಹಾರ ಶಿಕ್ಷಣ ವಂತರಿಗೆ ಮಾತ್ರ ಸಾಧ್ಯ ಅವಿಧ್ಯಾವಂತರಿಗೆ ಇದು ಸೂಕ್ತವಲ್ಲ.
/content/asr-task2-data/test_kannada/knf_00254_01541969378.wav,212,ಸರ್ಕಾರದ ಖಜಾನೆಯ ಇಷ್ಟಾನುಸಾರವಾಗಿ ಹೆಚ್ಚು ವ್ಯಾಪಕವಾದ ಬಹಿರಂಗಪಡಿಸುವಿಕೆಯ ಅವಶ್ಯಕತೆಯು ಕಂಡುಬರಬಹುದು.
/content/asr-task2-data/test_kannada/knf_09696_00779393186.wav,565292,ಈ ವ್ಯವಹಾರ ಶಿಕ್ಷಣ ವಂತರಿಗೆ ಮಾತ್ರ ಸಾಧ್ಯ ಅವಿಧ್ಯಾವಂತರಿಗೆ ಇದು ಸೂಕ್ತವಲ್ಲ.
/content/asr-task2-data/test_kannada/knf_06123_00368408007.wav,212,ಇದರ ಜೊತೆಗೆ ನೀರಿನ ಮರುಪೂರಣೆ ಸಮರ್ಪಕವಾಗಿ ಆಗುತ್ತಿಲ್ಲ.
/content/asr-task2-data/test_kannada/knf_05550_01207101906.wav,212,ಅಮೃತಮಂಥನದಲ್ಲಿ ಧನ್ವಂತರಿ ಹುಟ್ಟಿ ಲೋಕಕ್ಕೆ ಅಮೃತವನ್ನು ತಂದನೆಂದು ಮಹಾಭಾರತದಲ್ಲಿ ಹೇಳಿದೆ.
/content/asr-task2-data/test_kannada/knf_01779_02024713720.wav,655404,ಅಂತರಜಾಲ ಸೌಲಭ್ಯ ಇಲ್ಲದವರಿಗೆ ಅಂತಾರಾಷ್ಟ್ರೀಯ ಧನಾದೇಶ ಸ್ವೀಕೃತಿ
