wav_filename,wav_filesize,transcript
/content/asr-task2-data/malyalam_train/mlf_02879_00815596770.wav,212,അവർ അദ്ദേഹത്തെ സ്നേഹത്തോടെ ബെഞ്ചമിനച്ചൻ എന്ന് വിളിച്ചിരുന്നു
/content/asr-task2-data/malyalam_train/mlf_06469_00270783947.wav,212,അവിടെ ഗ്രോവിന്റെ ദുർഭരണത്തിനെതിരെ നടക്കുന്ന പ്രക്ഷോഭങ്ങളിൽ സജീവ സാന്നിദ്ധ്യമായി
/content/asr-task2-data/malyalam_train/mlf_05401_00212968046.wav,212,അപ്രകാരം സംഭവിക്കുന്നത് ഊർജ്ജസംരക്ഷണനിയമത്തിനും സംവേഗസംരക്ഷണനിയമത്തിനും എതിരാകും
/content/asr-task2-data/malyalam_train/mlf_03228_01299568667.wav,505902,ആരെങ്കിലും ആ പൊതുനിലപാട് സ്വീകരിച്ചില്ലെന്നത് സമ്മാനിതനാവാനുള്ള കാരണമല്ല
/content/asr-task2-data/malyalam_train/mlf_06469_02146596867.wav,212,അദ്ദേഹം നൂറ്റിയിരുപത്തിയേഴ് റണ്ണുകൾ വാരിക്കൂട്ടി
/content/asr-task2-data/malyalam_train/mlf_03228_00668533754.wav,401520,അവയെക്കുറിച്ചറിയാൻ ഗുജറാത്തി നാനാർത്ഥങ്ങൾ എന്ന താൾ കാണുക
/content/asr-task2-data/malyalam_train/mlf_02879_00815596770.wav,347622,അവർ അദ്ദേഹത്തെ സ്നേഹത്തോടെ ബെഞ്ചമിനച്ചൻ എന്ന് വിളിച്ചിരുന്നു
/content/asr-task2-data/malyalam_train/mlf_03132_01162270189.wav,761900,അത്തരം ഏറ്റുപറയൽ അനുരഞ്ജനപ്രക്രിയയുടെ ഭാഗമാണ്
/content/asr-task2-data/malyalam_train/mlf_03132_01613325358.wav,212,അത്തരത്തിലുള്ള നിരവധി കിണറുകൾ ചരിത്ര ശേഷിപ്പുകളായി ഇവിടെ അവശേഷിക്കുന്നുണ്ട്
/content/asr-task2-data/malyalam_train/mlf_06469_02146596867.wav,382820,അദ്ദേഹം നൂറ്റിയിരുപത്തിയേഴ് റണ്ണുകൾ വാരിക്കൂട്ടി
/content/asr-task2-data/malyalam_train/mlf_05401_00863865118.wav,688172,അതിന്റെ വികസിതദശയിൽ ഏതാണ്ട് മുപ്പതോളം ക്ഷേത്രങ്ങൾ പണിതീർത്തിട്ടുണ്ട്
/content/asr-task2-data/malyalam_train/mlf_06469_00270783947.wav,640064,അവിടെ ഗ്രോവിന്റെ ദുർഭരണത്തിനെതിരെ നടക്കുന്ന പ്രക്ഷോഭങ്ങളിൽ സജീവ സാന്നിദ്ധ്യമായി
/content/asr-task2-data/malyalam_train/mlf_02879_01795762363.wav,212,കൂടുതൽ വിവരങ്ങൾ വരുമ്പോൾ തിരിച്ചു ചേർക്കാം
/content/asr-task2-data/malyalam_train/mlf_05401_00863865118.wav,212,അതിന്റെ വികസിതദശയിൽ ഏതാണ്ട് മുപ്പതോളം ക്ഷേത്രങ്ങൾ പണിതീർത്തിട്ടുണ്ട്
/content/asr-task2-data/malyalam_train/mlf_03228_01299568667.wav,212,ആരെങ്കിലും ആ പൊതുനിലപാട് സ്വീകരിച്ചില്ലെന്നത് സമ്മാനിതനാവാനുള്ള കാരണമല്ല
/content/asr-task2-data/malyalam_train/mlf_03132_01162270189.wav,212,അത്തരം ഏറ്റുപറയൽ അനുരഞ്ജനപ്രക്രിയയുടെ ഭാഗമാണ്
/content/asr-task2-data/malyalam_train/mlf_03228_00668533754.wav,212,അവയെക്കുറിച്ചറിയാൻ ഗുജറാത്തി നാനാർത്ഥങ്ങൾ എന്ന താൾ കാണുക
/content/asr-task2-data/malyalam_train/mlf_03132_01613325358.wav,966700,അത്തരത്തിലുള്ള നിരവധി കിണറുകൾ ചരിത്ര ശേഷിപ്പുകളായി ഇവിടെ അവശേഷിക്കുന്നുണ്ട്
/content/asr-task2-data/malyalam_train/mlf_05401_00212968046.wav,819244,അപ്രകാരം സംഭവിക്കുന്നത് ഊർജ്ജസംരക്ഷണനിയമത്തിനും സംവേഗസംരക്ഷണനിയമത്തിനും എതിരാകും
/content/asr-task2-data/malyalam_train/mlf_02879_01795762363.wav,249040,കൂടുതൽ വിവരങ്ങൾ വരുമ്പോൾ തിരിച്ചു ചേർക്കാം
