wav_filename,wav_filesize,transcript
/content/asr-task2-data/kannada_train/knf_03574_01609069976.wav,426028,ಅಲ್ಲದೇ ಅದಕ್ಕೆ ಅಗತ್ಯ ತರಬೇತಿ ವ್ಯವಸ್ಥೆ ಮಾಡಿದರು.
/content/asr-task2-data/kannada_train/knf_03271_01280046274.wav,507948,ಮಣ್ಣು ಹಾಗೂ ಸಂಪುಟದ ನಡುವಿನ ಜಾಗವನ್ನು ಒತ್ತಡಕ್ಕೊಳಪಡಿಸಿರುತ್ತಾರೆ.
/content/asr-task2-data/kannada_train/knf_03574_00145342156.wav,483372,ಹಚ್ಚುವ ಮೊದಲು ಲೋಹಗಳ ಮೈಯನ್ನು ಉಜ್ಜಿ ಒರಟು ಮಾಡುವುದು ಒಳ್ಳೆಯದು.
/content/asr-task2-data/kannada_train/knf_03574_01609069976.wav,212,ಅಲ್ಲದೇ ಅದಕ್ಕೆ ಅಗತ್ಯ ತರಬೇತಿ ವ್ಯವಸ್ಥೆ ಮಾಡಿದರು.
/content/asr-task2-data/kannada_train/knf_03271_01629528503.wav,589868,ಚಿತ್ರವನ್ನು ಕೆಲವೊಮ್ಮೆ ವಾರ್ನಿಷ್ ಅಥವಾ ಕೆಲವು ಇತರ ಮುದ್ರಕಗಳನ್ನು ರಕ್ಷಣೆಯಾಗಿ ಲೇಪನ ಮಾಡಲಾಗುತ್ತದೆ.
/content/asr-task2-data/kannada_train/knf_00001_01610070590.wav,212,ಒಂದು ಸಾರ್ತಿ ಈ ಪಾರ್ಶ್ವಚಿತ್ರ ನಿರ್ಮಾಣವಾದ ನಂತರ
/content/asr-task2-data/kannada_train/knf_00557_00693422845.wav,679980,ಇಂದ್ರನಂತೆ ನೂರಾರು ಕುದುರೆಗಳು ಹೂಡಿದ ರಥದಲ್ಲಿ ಸಂಚರಿಸುವವನು.
/content/asr-task2-data/kannada_train/knf_03271_01629528503.wav,212,ಚಿತ್ರವನ್ನು ಕೆಲವೊಮ್ಮೆ ವಾರ್ನಿಷ್ ಅಥವಾ ಕೆಲವು ಇತರ ಮುದ್ರಕಗಳನ್ನು ರಕ್ಷಣೆಯಾಗಿ ಲೇಪನ ಮಾಡಲಾಗುತ್ತದೆ.
/content/asr-task2-data/kannada_train/knf_03574_00145342156.wav,212,ಹಚ್ಚುವ ಮೊದಲು ಲೋಹಗಳ ಮೈಯನ್ನು ಉಜ್ಜಿ ಒರಟು ಮಾಡುವುದು ಒಳ್ಳೆಯದು.
/content/asr-task2-data/kannada_train/knf_00557_00693422845.wav,212,ಇಂದ್ರನಂತೆ ನೂರಾರು ಕುದುರೆಗಳು ಹೂಡಿದ ರಥದಲ್ಲಿ ಸಂಚರಿಸುವವನು.
