wav_filename,wav_filesize,transcript
/content/asr-task2-data/tamil_train/taf_03219_00712757493.wav,212,ரஹானே மட்டும் ஆறுதலாக முப்பத்தி ஆறு ரன்கள் குவித்தார்
/content/asr-task2-data/tamil_train/taf_00008_00072928033.wav,212,மற்ற படங்களைப் பற்றிய செய்திகள் எதுவும் வெளிவரவில்லை
/content/asr-task2-data/tamil_train/taf_03219_00712757493.wav,655404,ரஹானே மட்டும் ஆறுதலாக முப்பத்தி ஆறு ரன்கள் குவித்தார்
/content/asr-task2-data/tamil_train/taf_04125_00189904551.wav,729132,விஷாலின் ரசிகர் மன்றம் மூலமாக வெள்ள நிவாரணம் வழங்கும் சோனா
/content/asr-task2-data/tamil_train/taf_00008_00072928033.wav,450604,மற்ற படங்களைப் பற்றிய செய்திகள் எதுவும் வெளிவரவில்லை
/content/asr-task2-data/tamil_train/taf_04125_01507228128.wav,811052,பணம் திசை திருப்பப்பட்டதை வங்காளதேசத்தின் கிராமின் வங்கி மறுக்கிறது
/content/asr-task2-data/tamil_train/taf_02345_01664073518.wav,212,இமாச்சலப் பிரதேசப் பழங்குடியினர் கிரேக்க மன்னன் அலெக்சாண்டரின் வாரிசுகளா?
/content/asr-task2-data/tamil_train/taf_03219_01437285419.wav,679980,அரசுப் பள்ளிகளில் வழங்கப்படும் கல்வியினை ஆதரிக்கும் பரப்புரை தமிழகத்தில் துவக்கம்
/content/asr-task2-data/tamil_train/taf_09705_00202379033.wav,761900,ஐ பி எல் கிரிக்கெட் போட்டியில் சூதாட்டம் நடந்ததாக குற்றச்சாட்டுகள் எழுந்தது
/content/asr-task2-data/tamil_train/taf_09705_01218130267.wav,679980,உங்களுடைய உணவுக் கட்டுப்பாட்டைச் சொன்னால் மற்றவர்களுக்கும் உதவியாக இருக்கும்
/content/asr-task2-data/tamil_train/taf_09705_01218130267.wav,212,உங்களுடைய உணவுக் கட்டுப்பாட்டைச் சொன்னால் மற்றவர்களுக்கும் உதவியாக இருக்கும்
/content/asr-task2-data/tamil_train/taf_09705_00202379033.wav,212,ஐ பி எல் கிரிக்கெட் போட்டியில் சூதாட்டம் நடந்ததாக குற்றச்சாட்டுகள் எழுந்தது
/content/asr-task2-data/tamil_train/taf_00008_01305524612.wav,409644,மனோரமாவிற்கு பூபதி என்ற மகன் உள்ளார்
/content/asr-task2-data/tamil_train/taf_03219_01437285419.wav,212,அரசுப் பள்ளிகளில் வழங்கப்படும் கல்வியினை ஆதரிக்கும் பரப்புரை தமிழகத்தில் துவக்கம்
/content/asr-task2-data/tamil_train/taf_02345_01664073518.wav,630828,இமாச்சலப் பிரதேசப் பழங்குடியினர் கிரேக்க மன்னன் அலெக்சாண்டரின் வாரிசுகளா?
/content/asr-task2-data/tamil_train/taf_04125_00189904551.wav,212,விஷாலின் ரசிகர் மன்றம் மூலமாக வெள்ள நிவாரணம் வழங்கும் சோனா
/content/asr-task2-data/tamil_train/taf_02345_00348037167.wav,622636,ஆஸ்த்ரேலியப் பெண்ணுக்கு முப்பத்தி மூன்று ஆண்டுகளுக்குப் பின்னர் இந்தியா இழப்பீடு வழங்கியது
/content/asr-task2-data/tamil_train/taf_04125_01507228128.wav,212,பணம் திசை திருப்பப்பட்டதை வங்காளதேசத்தின் கிராமின் வங்கி மறுக்கிறது
/content/asr-task2-data/tamil_train/taf_02345_00348037167.wav,212,ஆஸ்த்ரேலியப் பெண்ணுக்கு முப்பத்தி மூன்று ஆண்டுகளுக்குப் பின்னர் இந்தியா இழப்பீடு வழங்கியது
/content/asr-task2-data/tamil_train/taf_00008_01305524612.wav,212,மனோரமாவிற்கு பூபதி என்ற மகன் உள்ளார்
